date,open,close,high,low,volume,change,pct_change
2016-09-19,3242.7400,3263.1200,3264.9000,3242.7400,58831082,24.3900,0.0075
2016-09-20,3264.6600,3257.4000,3265.0400,3252.3900,52784206,-5.7200,-0.0018
2016-09-21,3257.7100,3266.6400,3270.9000,3254.3200,59142979,9.2400,0.0028
2016-09-22,3281.4700,3291.1200,3303.2000,3277.9800,75753542,24.4800,0.0075
2016-09-23,3292.2800,3275.6700,3293.9200,3275.0200,57993986,-15.4500,-0.0047
2016-09-26,3267.6900,3220.2800,3267.6900,3220.2800,70452186,-55.3900,-0.0169
2016-09-27,3214.8700,3240.7500,3240.7800,3214.4400,58460550,20.4700,0.0064
2016-09-28,3243.6500,3230.8900,3243.6500,3228.0000,44727498,-9.8600,-0.0030
2016-09-29,3234.8600,3244.3900,3257.7700,3234.8000,55452556,13.5000,0.0042
2016-09-30,3240.1800,3253.2800,3260.9400,3239.0400,44978022,8.8900,0.0027
2016-10-10,3265.3600,3293.8700,3294.6400,3258.9600,80519260,40.5900,0.0125
2016-10-11,3296.8700,3306.5600,3308.0000,3292.8800,87713163,12.6900,0.0039
2016-10-12,3299.1400,3300.0100,3302.5600,3289.7500,68669781,-6.5500,-0.0020
2016-10-13,3299.1600,3302.6500,3307.4100,3292.4000,81224198,2.6400,0.0008
2016-10-14,3298.7300,3305.8500,3306.6900,3285.7300,82316271,3.2000,0.0010
2016-10-17,3305.9600,3277.8800,3309.0100,3271.5400,86113509,-27.9700,-0.0085
2016-10-18,3272.6800,3321.3300,3321.3300,3272.6800,102860714,43.4500,0.0133
2016-10-19,3323.3000,3316.2400,3332.5200,3309.8300,101167725,-5.0900,-0.0015
2016-10-20,3317.1800,3318.6000,3324.9000,3312.1700,79238871,2.3600,0.0007
2016-10-21,3315.7200,3327.7400,3341.5600,3309.1800,109785176,9.1400,0.0028
2016-10-24,3332.5100,3367.5800,3382.8300,3330.9700,153014345,39.8400,0.0120
2016-10-25,3367.4800,3367.4500,3373.9100,3356.5900,111191693,-0.1300,-0.0000
2016-10-26,3365.2000,3354.8000,3367.8300,3349.5700,98024786,-12.6500,-0.0038
2016-10-27,3351.4600,3345.7000,3352.3500,3335.1300,77629851,-9.1000,-0.0027
2016-10-28,3347.1400,3340.1300,3370.7500,3337.2900,93133309,-5.5700,-0.0017
2016-10-31,3332.4100,3336.2800,3340.4700,3317.3300,71352863,-3.8500,-0.0012
2016-11-01,3338.7100,3359.0500,3359.3900,3334.4600,74938199,22.7700,0.0068
2016-11-02,3350.7100,3333.3500,3356.4000,3331.3800,91197104,-25.7000,-0.0077
2016-11-03,3326.9000,3365.0800,3379.9900,3324.8400,126223504,31.7300,0.0095
2016-11-04,3362.2100,3354.1700,3377.6400,3348.4300,104069655,-10.9100,-0.0032
2016-11-07,3353.4400,3356.5900,3362.7400,3342.3100,99877988,2.4200,0.0007
2016-11-08,3367.7000,3371.1200,3383.9200,3361.1300,103148282,14.5300,0.0043
2016-11-09,3370.6000,3353.0500,3373.1000,3322.0800,139110059,-18.0700,-0.0054
2016-11-10,3374.9100,3390.6100,3403.0200,3374.9100,134705535,37.5600,0.0112
2016-11-11,3387.9500,3417.2200,3422.6700,3382.8900,198781496,26.6100,0.0078
2016-11-14,3409.2200,3430.2500,3452.6200,3408.1400,213247105,13.0300,0.0038
2016-11-15,3428.8700,3429.8700,3434.9200,3415.9900,134566320,-0.3800,-0.0001
2016-11-16,3432.4300,3429.5900,3435.6400,3419.2400,129808511,-0.2800,-0.0001
2016-11-17,3423.4700,3436.5300,3437.6700,3412.8800,121561731,6.9400,0.0020
2016-11-18,3437.4900,3417.4600,3443.1200,3413.2700,115951205,-19.0700,-0.0055
2016-11-21,3412.6500,3441.1100,3463.1400,3412.0800,146434529,23.6500,0.0069
2016-11-22,3443.2200,3468.3600,3469.2200,3443.2200,168523446,27.2500,0.0079
2016-11-23,3473.9000,3474.7300,3492.9600,3465.7600,162388504,6.3700,0.0018
2016-11-24,3468.8100,3488.7400,3508.1600,3467.0100,145746301,14.0100,0.0040
2016-11-25,3490.0400,3521.3000,3521.3000,3463.9500,153621506,32.5600,0.0093
2016-11-28,3538.6800,3535.0800,3553.3600,3528.3200,207375483,13.7800,0.0039
2016-11-29,3525.9000,3564.0400,3583.7200,3521.3800,236918356,28.9600,0.0082
2016-11-30,3557.6400,3538.0000,3567.0700,3527.0200,178560178,-26.0400,-0.0073
2016-12-01,3543.9600,3565.0400,3575.9700,3543.2500,180170761,27.0400,0.0076
2016-12-02,3559.7700,3528.9500,3562.5500,3516.7900,196355480,-36.0900,-0.0101
2016-12-05,3473.6900,3469.4100,3496.8800,3457.3400,180852355,-59.5400,-0.0169
2016-12-06,3466.2400,3459.1500,3477.5900,3456.8100,115529090,-10.2600,-0.0030
2016-12-07,3458.3700,3475.7500,3475.7500,3445.7600,114345103,16.6000,0.0048
2016-12-08,3481.8100,3470.1400,3484.3400,3466.5100,117383922,-5.6100,-0.0016
2016-12-09,3464.8700,3493.7000,3507.9300,3461.7600,150303308,23.5600,0.0068
2016-12-12,3489.2700,3409.1800,3495.8000,3400.7900,187467751,-84.5200,-0.0242
2016-12-13,3394.2100,3405.0400,3416.2100,3370.6000,121105097,-4.1400,-0.0012
2016-12-14,3399.4100,3378.9500,3412.2800,3378.2700,124007744,-26.0900,-0.0077
2016-12-15,3363.8600,3340.4300,3378.0400,3327.1400,114960660,-38.5200,-0.0114
2016-12-16,3335.3600,3346.0300,3356.2900,3330.4900,90775422,5.6000,0.0017
2016-12-19,3342.3400,3328.9800,3344.8600,3325.0000,81640678,-17.0500,-0.0051
2016-12-20,3328.3000,3309.0600,3329.1000,3289.2700,87569592,-19.9200,-0.0060
2016-12-21,3313.7500,3338.5400,3342.4800,3313.7500,108254995,29.4800,0.0089
2016-12-22,3335.1200,3335.6700,3340.3600,3322.7200,92277249,-2.8700,-0.0009
2016-12-23,3333.4000,3307.6000,3334.8900,3300.8800,97444713,-28.0700,-0.0084
2016-12-26,3293.2200,3322.4000,3322.4200,3267.0500,89793982,14.8000,0.0045
2016-12-27,3319.2100,3316.3900,3330.2300,3315.8300,75486359,-6.0100,-0.0018
2016-12-28,3315.7500,3301.8900,3320.5500,3293.1700,69000437,-14.5000,-0.0044
